# bind_id	pane	action_type	action_value	label_key
# The help registry: one row per key the help panes describe. bind_id is the
# modifiers joined with + and the key name as Hyprland prints it (SUPER+SHIFT+S,
# F1). pane is one of hypr browser shell editor system. action_type says what
# action_value is (docs/i18n-schema.md): exec runs it through Hyprland, dispatch
# is a dispatcher call, doc is a path under docs/. label_key is the i18n key of
# the description. Every hypr row must match an annotated bind in the Hyprland
# template and every annotated bind a row here: scripts/check-help-registry.sh.
SUPER+Return	hypr	exec	kitty	help.hypr.terminal
SUPER+R	hypr	exec	rofi -show drun	help.hypr.launcher
SUPER+D	hypr	exec	dmenu_run -fn 'JetBrains Mono Nerd Font-12'	help.hypr.dmenu
SUPER+ALT+R	hypr	exec	wofi --show drun	help.hypr.wofi
SUPER+E	hypr	exec	kitty -e nvim	help.hypr.editor
SUPER+Q	hypr	dispatch	killactive	help.hypr.close
SUPER+M	hypr	dispatch	exit	help.hypr.exit
SUPER+Space	hypr	dispatch	togglefloating	help.hypr.floating
SUPER+F	hypr	dispatch	fullscreen	help.hypr.fullscreen
SUPER+J	hypr	dispatch	layoutmsg togglesplit	help.hypr.split
SUPER+L	hypr	exec	hyprlock	help.hypr.lock
SUPER+SHIFT+S	hypr	exec	~/.config/hypr/scripts/screenshot.sh	help.hypr.screenshot
F1	hypr	exec	~/.config/hypr/scripts/help-pane.sh --pane hypr	help.hypr.help_hypr
F2	hypr	exec	~/.config/hypr/scripts/help-pane.sh --pane browser	help.hypr.help_browser
F3	hypr	exec	~/.config/hypr/scripts/help-pane.sh --pane shell	help.hypr.help_shell
F4	hypr	exec	~/.config/hypr/scripts/help-pane.sh --pane editor	help.hypr.help_editor
F5	hypr	exec	~/.config/hypr/scripts/help-pane.sh --pane system	help.hypr.help_system
SUPER+SHIFT+E	hypr	exec	$HOME/.config/rofi/power/powermenu.sh	help.hypr.power
SUPER+SHIFT+Q	hypr	exec	$HOME/.local/bin/vivac-power	help.hypr.power_bar
SUPER+SHIFT+T	hypr	exec	$HOME/.local/bin/vivac-theme	help.hypr.theme
SUPER+V	hypr	exec	cliphist list | rofi -dmenu -i -p Clipboard | cliphist decode | wl-copy	help.hypr.clipboard
SUPER+SHIFT+R	hypr	exec	hyprctl reload	help.hypr.reload
SUPER+left	hypr	dispatch	movefocus l	help.hypr.focus_left
SUPER+right	hypr	dispatch	movefocus r	help.hypr.focus_right
SUPER+up	hypr	dispatch	movefocus u	help.hypr.focus_up
SUPER+down	hypr	dispatch	movefocus d	help.hypr.focus_down
SUPER+SHIFT+left	hypr	dispatch	movewindow l	help.hypr.move_left
SUPER+SHIFT+right	hypr	dispatch	movewindow r	help.hypr.move_right
SUPER+SHIFT+up	hypr	dispatch	movewindow u	help.hypr.move_up
SUPER+SHIFT+down	hypr	dispatch	movewindow d	help.hypr.move_down
SUPER+ALT+left	hypr	dispatch	resizeactive -10 0	help.hypr.shrink_w
SUPER+ALT+right	hypr	dispatch	resizeactive 10 0	help.hypr.grow_w
SUPER+ALT+up	hypr	dispatch	resizeactive 0 -10	help.hypr.shrink_h
SUPER+ALT+down	hypr	dispatch	resizeactive 0 10	help.hypr.grow_h
SUPER+1	hypr	dispatch	workspace 1	help.hypr.ws_1
SUPER+2	hypr	dispatch	workspace 2	help.hypr.ws_2
SUPER+3	hypr	dispatch	workspace 3	help.hypr.ws_3
SUPER+4	hypr	dispatch	workspace 4	help.hypr.ws_4
SUPER+5	hypr	dispatch	workspace 5	help.hypr.ws_5
SUPER+6	hypr	dispatch	workspace 6	help.hypr.ws_6
SUPER+7	hypr	dispatch	workspace 7	help.hypr.ws_7
SUPER+8	hypr	dispatch	workspace 8	help.hypr.ws_8
SUPER+9	hypr	dispatch	workspace 9	help.hypr.ws_9
SUPER+0	hypr	dispatch	workspace 10	help.hypr.ws_10
SUPER+SHIFT+1	hypr	dispatch	movetoworkspace 1	help.hypr.ws_move_1
SUPER+SHIFT+2	hypr	dispatch	movetoworkspace 2	help.hypr.ws_move_2
SUPER+SHIFT+3	hypr	dispatch	movetoworkspace 3	help.hypr.ws_move_3
SUPER+SHIFT+4	hypr	dispatch	movetoworkspace 4	help.hypr.ws_move_4
SUPER+SHIFT+5	hypr	dispatch	movetoworkspace 5	help.hypr.ws_move_5
SUPER+SHIFT+6	hypr	dispatch	movetoworkspace 6	help.hypr.ws_move_6
SUPER+SHIFT+7	hypr	dispatch	movetoworkspace 7	help.hypr.ws_move_7
SUPER+SHIFT+8	hypr	dispatch	movetoworkspace 8	help.hypr.ws_move_8
SUPER+SHIFT+9	hypr	dispatch	movetoworkspace 9	help.hypr.ws_move_9
SUPER+SHIFT+0	hypr	dispatch	movetoworkspace 10	help.hypr.ws_move_10
SUPER+bracketright	hypr	dispatch	workspace e+1	help.hypr.ws_next
SUPER+bracketleft	hypr	dispatch	workspace e-1	help.hypr.ws_prev
Ctrl+T	browser	doc	docs/keys.md#browser	help.browser.new_tab
Ctrl+W	browser	doc	docs/keys.md#browser	help.browser.close_tab
Ctrl+L	browser	doc	docs/keys.md#browser	help.browser.address
Ctrl+Shift+T	browser	doc	docs/keys.md#browser	help.browser.reopen_tab
Ctrl+F	browser	doc	docs/keys.md#browser	help.browser.find
Ctrl+R	shell	doc	docs/keys.md#shell	help.shell.history
Ctrl+A	shell	doc	docs/keys.md#shell	help.shell.line_start
Ctrl+E	shell	doc	docs/keys.md#shell	help.shell.line_end
Ctrl+U	shell	doc	docs/keys.md#shell	help.shell.kill_line
Ctrl+Z	shell	doc	docs/keys.md#shell	help.shell.suspend
Space	editor	doc	docs/keys.md#editor	help.editor.leader
Space+F	editor	doc	docs/keys.md#editor	help.editor.find_files
Space+/	editor	doc	docs/keys.md#editor	help.editor.grep
Space+E	editor	doc	docs/keys.md#editor	help.editor.explorer
G+D	editor	doc	docs/keys.md#editor	help.editor.definition
Ctrl+Alt+F3	system	doc	docs/keys.md#system	help.system.tty
Print	system	doc	docs/keys.md#system	help.system.screenshot_full
XF86AudioRaiseVolume	system	doc	docs/keys.md#system	help.system.volume_up
XF86AudioLowerVolume	system	doc	docs/keys.md#system	help.system.volume_down
XF86MonBrightnessUp	system	doc	docs/keys.md#system	help.system.brightness_up
